start_ts,weather_conditions,duration_seconds
18/11/2017 11:00,Good,2843
11/11/2017 17:00,Good,2426
04/11/2017 09:00,Good,1740
25/11/2017 07:00,Good,2340
18/11/2017 05:00,Good,2075
18/11/2017 07:00,Bad,1511
11/11/2017 18:00,Good,2220
04/11/2017 10:00,Good,2551
11/11/2017 16:00,Good,2062
04/11/2017 12:00,Good,2999
04/11/2017 08:00,Good,1677
04/11/2017 06:00,Good,1177
11/11/2017 06:00,Good,1475
25/11/2017 08:00,Good,1277
11/11/2017 04:00,Good,1213
18/11/2017 13:00,Bad,4044
04/11/2017 21:00,Good,1680
04/11/2017 18:00,Bad,1980
25/11/2017 18:00,Good,2760
11/11/2017 09:00,Good,1380
11/11/2017 07:00,Good,1380
18/11/2017 08:00,Bad,1320
11/11/2017 16:00,Good,2591
11/11/2017 08:00,Good,1260
11/11/2017 07:00,Good,1380
11/11/2017 10:00,Good,1440
04/11/2017 14:00,Good,3240
04/11/2017 16:00,Bad,2782
04/11/2017 14:00,Good,3120
04/11/2017 19:00,Good,1869
11/11/2017 06:00,Good,1218
11/11/2017 11:00,Good,1620
11/11/2017 10:00,Good,1380
11/11/2017 08:00,Good,1380
11/11/2017 09:00,Good,1380
11/11/2017 07:00,Good,1320
04/11/2017 14:00,Good,3300
04/11/2017 13:00,Good,3060
11/11/2017 13:00,Good,2100
18/11/2017 14:00,Good,3540
11/11/2017 21:00,Good,1920
11/11/2017 17:00,Good,2160
11/11/2017 13:00,Good,2123
11/11/2017 07:00,Good,1384
11/11/2017 10:00,Good,1260
18/11/2017 15:00,Good,3480
11/11/2017 12:00,Good,2071
18/11/2017 13:00,Bad,3300
25/11/2017 13:00,Good,1560
04/11/2017 12:00,Good,2760
18/11/2017 12:00,Bad,3024
11/11/2017 11:00,Good,1380
25/11/2017 06:00,Good,1200
11/11/2017 06:00,Good,1667
18/11/2017 18:00,Good,2056
11/11/2017 10:00,Good,1473
11/11/2017 17:00,Good,2460
11/11/2017 10:00,Good,1740
11/11/2017 14:00,Good,2340
04/11/2017 16:00,Bad,3180
04/11/2017 11:00,Good,2220
11/11/2017 12:00,Good,2240
04/11/2017 14:00,Good,2778
18/11/2017 06:00,Good,1420
04/11/2017 14:00,Good,3480
25/11/2017 20:00,Good,1980
18/11/2017 10:00,Bad,2055
11/11/2017 15:00,Good,2380
04/11/2017 08:00,Good,1539
25/11/2017 10:00,Good,1591
18/11/2017 14:00,Good,2588
11/11/2017 07:00,Good,0
04/11/2017 22:00,Good,1380
04/11/2017 12:00,Good,2220
04/11/2017 08:00,Good,1380
04/11/2017 14:00,Good,2820
11/11/2017 09:00,Good,0
18/11/2017 09:00,Bad,1260
18/11/2017 13:00,Bad,2940
18/11/2017 16:00,Bad,2340
18/11/2017 12:00,Bad,2220
25/11/2017 11:00,Good,1140
11/11/2017 10:00,Good,1239
04/11/2017 16:00,Bad,3130
18/11/2017 15:00,Good,2877
11/11/2017 03:00,Good,1162
04/11/2017 14:00,Good,3060
11/11/2017 13:00,Good,1680
04/11/2017 10:00,Good,2112
04/11/2017 11:00,Good,2328
11/11/2017 05:00,Good,1504
04/11/2017 06:00,Good,1439
18/11/2017 16:00,Bad,2811
18/11/2017 11:00,Good,2094
11/11/2017 06:00,Good,1430
18/11/2017 12:00,Bad,3026
04/11/2017 14:00,Good,3120
25/11/2017 12:00,Good,1380
18/11/2017 14:00,Good,2994
11/11/2017 11:00,Good,1620
04/11/2017 12:00,Good,2640
18/11/2017 00:00,Bad,480
18/11/2017 19:00,Good,0
11/11/2017 10:00,Good,1414
11/11/2017 12:00,Good,1981
11/11/2017 08:00,Good,1200
04/11/2017 11:00,Good,2160
11/11/2017 15:00,Good,2400
11/11/2017 20:00,Good,1500
Aprobado,,
Puedes continuar,,
EjecutarEnviar,,
Tarea 5,,
